ORIGEN,PRESENTACION,TIPO,MS,TND (%),PB,EE,COEF ATC,$/KG,EM,ENP2
Clortet,Clortet,ATB,0.03,,,,,$ 350.00,0.00,0.00
GARBANZO,GARBANZO,Ingrediente - Proteico,0.88,86%,23.00,1.14,1.12,$ 15.00,3.12,1.53
MAIZ,MAIZ - afrecho bl,Ingrediente - Energetico,0.88,85%,11.00,1.14,1.12,$ 131.65,2.70,1.31
MAIZ,MAIZ - humedo,Ingrediente - Energetico,0.70,80%,8.00,1.30,1.30,$ 123.88,2.90,1.32
MAIZ,MAIZ - descarte pop,Ingrediente - Energetico,0.86,80%,9.00,1.16,1.14,$ 120.05,2.70,1.23
MAIZ,MAIZ - grano grado 2,Ingrediente - Energetico,0.88,90%,9.00,1.14,1.16,$ 154.85,3.20,1.64
ALFA,ROLLO ALFA,Ingrediente - Proteico,0.88,90%,15.00,0.00,1.40,$ 52.00,1.70,0.87
SOJA,SOJA CRUDA DESC,Ingrediente - Proteico,0.88,63%,35.00,1.14,1.12,$ 18.00,2.50,0.90
PROTEICO,Proteico PD Creston,Ingrediente - Proteico,0.88,85%,35.00,1.14,1.12,$ 578.00,2.50,1.21
SORGO,SORGO- silaje,Ingrediente - Fibra,0.30,65%,8.00,0.00,3.00,$ 33.00,1.70,0.63
SORGO,SORGO - grano partido,Ingrediente - Energetico,0.87,84%,9.00,1.15,1.13,$ 150.00,3.04,1.46
SORGO,SORGO - grano partido hum,Ingrediente - Energetico,0.85,82%,8.00,1.43,1.15,$ 135.00,3.00,1.40
MAIZ,Maiz - silaje pocas maz,Ingrediente - Fibra,0.34,60%,7.00,2.70,2.90,$ 55.00,1.90,0.65
TRIGO,TRGO-rabacillo,Ingrediente - fibra,0.80,69%,12.00,1.12,1.20,$ 86.00,2.50,0.98
POROTO,MUNG DESC,Ingrediente - Proteico,0.88,70%,16.00,2.00,1.12,$ 100.00,2.00,1.10
BRAQ0,ROLLO BR,Ingrediente - fibra,0.70,65%,8.00,0.00,1.30,$ 50.00,1.00,0.50
MAIZ,MAIZ - grano humedo,Ingrediente - Energetico,0.70,85%,9.00,1.20,1.15,$ 140.00,3.05,1.50
TRIGO,TRIGO - grano,Ingrediente - Energetico,0.88,86%,12.00,1.50,1.20,$ 150.00,3.10,1.50
TRIGO,TRIGO - pellet rabacillo,Ingrediente - Fibra,0.88,70%,12.00,1.10,1.10,$ 120.00,2.40,1.00
MAIZ,MAIZ - 33% MS silaje muchas mazorcas,Ingrediente - Fibra,0.33,62%,7.00,2.00,2.50,$ 60.00,1.80,0.65
MAIZ,MAIZ - 40% MS silaje muchas mazorcas,Ingrediente - Fibra,0.40,65%,7.50,2.20,2.60,$ 60.00,1.90,0.70
MAIZ,MAIZ - 27% MS silaje muchas mazorcas,Ingrediente - Fibra,0.27,60%,6.50,1.80,2.40,$ 60.00,1.70,0.60
MAIZ,MAIZ - silaje muchas mazorcas,Ingrediente - Fibra,0.30,62%,7.00,2.00,2.50,$ 60.00,1.80,0.65
SORGO,SORGO - grano partido humedo,Ingrediente - Energetico,0.85,82%,8.50,1.30,1.15,$ 140.00,3.00,1.38
POROTO,POROTO - grano,Ingrediente - Proteico,0.88,80%,24.00,1.50,1.10,$ 180.00,2.20,1.05
POROTO,POROTO - desactivado,Ingrediente - Proteico,0.88,78%,26.00,1.50,1.10,$ 190.00,2.20,1.05
